filename,timestamp,file_size_bytes
pageviews-20250112-010000.gz,12-Jan-2025 02:06,51459993
pageviews-20250112-020000.gz,12-Jan-2025 03:01,47526158
pageviews-20250112-030000.gz,12-Jan-2025 04:18,46307089
pageviews-20250112-040000.gz,12-Jan-2025 05:00,45742280
pageviews-20250112-050000.gz,12-Jan-2025 06:00,44823768
pageviews-20250112-060000.gz,12-Jan-2025 07:00,45449064
pageviews-20250112-070000.gz,12-Jan-2025 08:01,48485168
pageviews-20250112-080000.gz,12-Jan-2025 09:00,53968726
pageviews-20250112-090000.gz,12-Jan-2025 10:01,56364826
pageviews-20250112-100000.gz,12-Jan-2025 11:00,59241395
pageviews-20250112-110000.gz,12-Jan-2025 12:01,61661424
pageviews-20250112-120000.gz,12-Jan-2025 13:02,63873689
pageviews-20250112-130000.gz,12-Jan-2025 14:01,66803271
pageviews-20250112-140000.gz,12-Jan-2025 15:02,70036886
pageviews-20250112-150000.gz,12-Jan-2025 16:11,71005388
pageviews-20250112-160000.gz,12-Jan-2025 17:01,71337573
pageviews-20250112-170000.gz,12-Jan-2025 18:01,73129644
pageviews-20250112-180000.gz,12-Jan-2025 19:00,72160837
pageviews-20250112-190000.gz,12-Jan-2025 20:00,70431050
pageviews-20250112-200000.gz,12-Jan-2025 21:01,69479656
pageviews-20250112-210000.gz,12-Jan-2025 22:01,69670676
pageviews-20250112-220000.gz,12-Jan-2025 23:01,67269152
pageviews-20250112-230000.gz,13-Jan-2025 00:00,62697001
pageviews-20250113-000000.gz,13-Jan-2025 01:01,56284005
pageviews-20250113-010000.gz,13-Jan-2025 02:01,51971048
pageviews-20250113-020000.gz,13-Jan-2025 03:00,49432586
pageviews-20250113-030000.gz,13-Jan-2025 04:00,48223289
pageviews-20250113-040000.gz,13-Jan-2025 05:00,47644917
pageviews-20250113-050000.gz,13-Jan-2025 06:00,47673298
pageviews-20250113-060000.gz,13-Jan-2025 07:00,49284464
pageviews-20250113-070000.gz,13-Jan-2025 08:00,53163380
pageviews-20250113-080000.gz,13-Jan-2025 09:00,57507560
pageviews-20250113-090000.gz,13-Jan-2025 10:00,59633387
pageviews-20250113-100000.gz,13-Jan-2025 11:00,62579000
pageviews-20250113-110000.gz,13-Jan-2025 12:00,63931990
pageviews-20250113-120000.gz,13-Jan-2025 13:01,66523377
pageviews-20250113-130000.gz,13-Jan-2025 14:00,70014127
pageviews-20250113-140000.gz,13-Jan-2025 15:00,75018954
pageviews-20250113-150000.gz,13-Jan-2025 16:02,76990294
pageviews-20250113-160000.gz,13-Jan-2025 17:01,77732820
pageviews-20250113-170000.gz,13-Jan-2025 18:01,77587838
pageviews-20250113-180000.gz,13-Jan-2025 19:03,75725983
pageviews-20250113-190000.gz,13-Jan-2025 20:11,75477758
pageviews-20250113-200000.gz,13-Jan-2025 21:01,75355344
pageviews-20250113-210000.gz,13-Jan-2025 22:10,75195639
pageviews-20250113-220000.gz,13-Jan-2025 23:00,71862208
pageviews-20250113-230000.gz,14-Jan-2025 00:00,66362169
pageviews-20250114-000000.gz,14-Jan-2025 01:00,59660412
pageviews-20250114-010000.gz,14-Jan-2025 02:01,56349936
pageviews-20250114-020000.gz,14-Jan-2025 03:00,53968033
pageviews-20250114-030000.gz,14-Jan-2025 04:00,52903755
pageviews-20250114-040000.gz,14-Jan-2025 05:00,52836065
pageviews-20250114-050000.gz,14-Jan-2025 06:00,53044534
pageviews-20250114-060000.gz,14-Jan-2025 07:00,55359348
pageviews-20250114-070000.gz,14-Jan-2025 08:00,59933352
pageviews-20250114-080000.gz,14-Jan-2025 08:59,66094615
pageviews-20250114-090000.gz,14-Jan-2025 09:59,68358351
pageviews-20250114-100000.gz,14-Jan-2025 11:00,70127633
pageviews-20250114-110000.gz,14-Jan-2025 11:59,71444181
pageviews-20250114-120000.gz,14-Jan-2025 13:00,73065280
pageviews-20250114-130000.gz,14-Jan-2025 14:00,74552832
pageviews-20250114-140000.gz,14-Jan-2025 15:00,76516683
pageviews-20250114-150000.gz,14-Jan-2025 16:01,77489727
pageviews-20250114-160000.gz,14-Jan-2025 17:00,79115260
pageviews-20250114-170000.gz,14-Jan-2025 18:00,77102240
pageviews-20250114-180000.gz,14-Jan-2025 19:01,73190159
pageviews-20250114-190000.gz,14-Jan-2025 20:01,74503610
pageviews-20250114-200000.gz,14-Jan-2025 21:12,76556473
pageviews-20250114-210000.gz,14-Jan-2025 22:01,76388150
pageviews-20250114-220000.gz,14-Jan-2025 23:01,72854238
pageviews-20250114-230000.gz,15-Jan-2025 00:01,67698622
pageviews-20250115-000000.gz,15-Jan-2025 01:00,60143565
pageviews-20250115-010000.gz,15-Jan-2025 02:00,56049125
pageviews-20250115-020000.gz,15-Jan-2025 03:00,53649396
pageviews-20250115-030000.gz,15-Jan-2025 03:59,54520437
pageviews-20250115-040000.gz,15-Jan-2025 05:00,54323072
pageviews-20250115-050000.gz,15-Jan-2025 05:50,54828407
pageviews-20250115-060000.gz,15-Jan-2025 07:00,56413120
pageviews-20250115-070000.gz,15-Jan-2025 08:00,60438757
pageviews-20250115-080000.gz,15-Jan-2025 09:01,64688289
pageviews-20250115-090000.gz,15-Jan-2025 10:00,67868008
pageviews-20250115-100000.gz,15-Jan-2025 11:01,70042272
pageviews-20250115-110000.gz,15-Jan-2025 12:01,70836167
pageviews-20250115-120000.gz,15-Jan-2025 13:10,71396637
pageviews-20250115-130000.gz,15-Jan-2025 14:01,72299636
pageviews-20250115-140000.gz,15-Jan-2025 15:01,74418776
pageviews-20250115-150000.gz,15-Jan-2025 16:00,74204077
pageviews-20250115-160000.gz,15-Jan-2025 17:01,75538128
pageviews-20250115-170000.gz,15-Jan-2025 18:01,75455129
pageviews-20250115-180000.gz,15-Jan-2025 19:02,75147417
pageviews-20250115-190000.gz,15-Jan-2025 20:00,74408936
pageviews-20250115-200000.gz,15-Jan-2025 21:01,73342315
pageviews-20250115-210000.gz,15-Jan-2025 22:00,72319316
pageviews-20250115-220000.gz,15-Jan-2025 23:00,69119548
pageviews-20250115-230000.gz,16-Jan-2025 00:00,64667524
pageviews-20250116-000000.gz,16-Jan-2025 00:50,58014929
pageviews-20250116-010000.gz,16-Jan-2025 01:59,53815604
pageviews-20250116-020000.gz,16-Jan-2025 02:50,51765054
pageviews-20250116-030000.gz,16-Jan-2025 04:00,51642283
